VCD info: dumpfile lcg_prng_waveform.vcd opened for output.
First LFSR Output:  84
Cycle         90: LFSR Output:  11
Cycle         91: LFSR Output:  23
Cycle         92: LFSR Output:  47
Cycle         93: LFSR Output:  94
Cycle         94: LFSR Output: 188
Cycle         95: LFSR Output: 120
Cycle         96: LFSR Output: 241
Cycle         97: LFSR Output: 227
Cycle         98: LFSR Output: 198
Cycle         99: LFSR Output: 141
Cycle        100: LFSR Output:  26
Cycle        101: LFSR Output:  52
Cycle        102: LFSR Output: 104
Cycle        103: LFSR Output: 208
Cycle        104: LFSR Output: 160
Cycle        105: LFSR Output:  64
Cycle        106: LFSR Output: 128
Cycle        107: LFSR Output:   1
Cycle        108: LFSR Output:   2
Cycle        109: LFSR Output:   4
Cycle        110: LFSR Output:   8
Cycle        111: LFSR Output:  17
Cycle        112: LFSR Output:  35
Cycle        113: LFSR Output:  71
Cycle        114: LFSR Output: 142
Cycle        115: LFSR Output:  28
Cycle        116: LFSR Output:  56
Cycle        117: LFSR Output: 113
Cycle        118: LFSR Output: 226
Cycle        119: LFSR Output: 196
Cycle        120: LFSR Output: 137
Cycle        121: LFSR Output:  18
Cycle        122: LFSR Output:  37
Cycle        123: LFSR Output:  75
Cycle        124: LFSR Output: 151
Cycle        125: LFSR Output:  46
Cycle        126: LFSR Output:  92
Cycle        127: LFSR Output: 184
Cycle        128: LFSR Output: 112
Cycle        129: LFSR Output: 224
Cycle        130: LFSR Output: 192
Cycle        131: LFSR Output: 129
Cycle        132: LFSR Output:   3
Cycle        133: LFSR Output:   6
Cycle        134: LFSR Output:  12
Cycle        135: LFSR Output:  25
Cycle        136: LFSR Output:  50
Cycle        137: LFSR Output: 100
Cycle        138: LFSR Output: 201
Cycle        139: LFSR Output: 146
Cycle        140: LFSR Output:  36
Cycle        141: LFSR Output:  73
Cycle        142: LFSR Output: 147
Cycle        143: LFSR Output:  38
Cycle        144: LFSR Output:  77
Cycle        145: LFSR Output: 155
Cycle        146: LFSR Output:  55
Cycle        147: LFSR Output: 110
Cycle        148: LFSR Output: 220
Cycle        149: LFSR Output: 185
Cycle        150: LFSR Output: 114
Cycle        151: LFSR Output: 228
Cycle        152: LFSR Output: 200
Cycle        153: LFSR Output: 144
Cycle        154: LFSR Output:  32
Cycle        155: LFSR Output:  65
Cycle        156: LFSR Output: 130
Cycle        157: LFSR Output:   5
Cycle        158: LFSR Output:  10
Cycle        159: LFSR Output:  21
Cycle        160: LFSR Output:  43
Cycle        161: LFSR Output:  86
Cycle        162: LFSR Output: 173
Cycle        163: LFSR Output:  91
Cycle        164: LFSR Output: 182
Cycle        165: LFSR Output: 109
Cycle        166: LFSR Output: 218
Cycle        167: LFSR Output: 181
Cycle        168: LFSR Output: 107
Cycle        169: LFSR Output: 214
Cycle        170: LFSR Output: 172
Cycle        171: LFSR Output:  89
Cycle        172: LFSR Output: 178
Cycle        173: LFSR Output: 101
Cycle        174: LFSR Output: 203
Cycle        175: LFSR Output: 150
Cycle        176: LFSR Output:  44
Cycle        177: LFSR Output:  88
Cycle        178: LFSR Output: 176
Cycle        179: LFSR Output:  97
Cycle        180: LFSR Output: 195
Cycle        181: LFSR Output: 135
Cycle        182: LFSR Output:  15
Cycle        183: LFSR Output:  31
Cycle        184: LFSR Output:  62
Cycle        185: LFSR Output: 125
Cycle        186: LFSR Output: 251
Cycle        187: LFSR Output: 246
Cycle        188: LFSR Output: 237
Cycle        189: LFSR Output: 219
Cycle        190: LFSR Output: 183
Cycle        191: LFSR Output: 111
Cycle        192: LFSR Output: 222
Cycle        193: LFSR Output: 189
Cycle        194: LFSR Output: 122
Cycle        195: LFSR Output: 245
Cycle        196: LFSR Output: 235
Cycle        197: LFSR Output: 215
Cycle        198: LFSR Output: 174
Cycle        199: LFSR Output:  93
Cycle        200: LFSR Output: 186
Cycle        201: LFSR Output: 116
Cycle        202: LFSR Output: 232
Cycle        203: LFSR Output: 209
Cycle        204: LFSR Output: 162
Cycle        205: LFSR Output:  68
Cycle        206: LFSR Output: 136
Cycle        207: LFSR Output:  16
Cycle        208: LFSR Output:  33
Cycle        209: LFSR Output:  67
Cycle        210: LFSR Output: 134
Cycle        211: LFSR Output:  13
Cycle        212: LFSR Output:  27
Cycle        213: LFSR Output:  54
Cycle        214: LFSR Output: 108
Cycle        215: LFSR Output: 216
Cycle        216: LFSR Output: 177
Cycle        217: LFSR Output:  99
Cycle        218: LFSR Output: 199
Cycle        219: LFSR Output: 143
Cycle        220: LFSR Output:  30
Cycle        221: LFSR Output:  60
Cycle        222: LFSR Output: 121
Cycle        223: LFSR Output: 243
Cycle        224: LFSR Output: 231
Cycle        225: LFSR Output: 206
Cycle        226: LFSR Output: 156
Cycle        227: LFSR Output:  57
Cycle        228: LFSR Output: 115
Cycle        229: LFSR Output: 230
Cycle        230: LFSR Output: 204
Cycle        231: LFSR Output: 152
Cycle        232: LFSR Output:  49
Cycle        233: LFSR Output:  98
Cycle        234: LFSR Output: 197
Cycle        235: LFSR Output: 139
Cycle        236: LFSR Output:  22
Cycle        237: LFSR Output:  45
Cycle        238: LFSR Output:  90
Cycle        239: LFSR Output: 180
Cycle        240: LFSR Output: 105
Cycle        241: LFSR Output: 210
Cycle        242: LFSR Output: 164
Cycle        243: LFSR Output:  72
Cycle        244: LFSR Output: 145
Cycle        245: LFSR Output:  34
Cycle        246: LFSR Output:  69
Cycle        247: LFSR Output: 138
Cycle        248: LFSR Output:  20
Cycle        249: LFSR Output:  41
Cycle        250: LFSR Output:  82
Cycle        251: LFSR Output: 165
Cycle        252: LFSR Output:  74
Cycle        253: LFSR Output: 149
Cycle        254: LFSR Output:  42
Cycle        255: LFSR Output:  84
LFSR Output repeats after        255 cycles at time                 2640
