VCD info: dumpfile lcg_prng_waveform.vcd opened for output.
First PRNG Output: 211
Cycle         68: PRNG Output: 127
Cycle         69: PRNG Output: 124
Cycle         70: PRNG Output: 109
Cycle         71: PRNG Output:  34
Cycle         72: PRNG Output: 171
Cycle         73: PRNG Output:  88
Cycle         74: PRNG Output: 185
Cycle         75: PRNG Output: 158
Cycle         76: PRNG Output:  23
Cycle         77: PRNG Output: 116
Cycle         78: PRNG Output:  69
Cycle         79: PRNG Output:  90
Cycle         80: PRNG Output: 195
Cycle         81: PRNG Output: 208
Cycle         82: PRNG Output:  17
Cycle         83: PRNG Output:  86
Cycle         84: PRNG Output: 175
Cycle         85: PRNG Output: 108
Cycle         86: PRNG Output:  29
Cycle         87: PRNG Output: 146
Cycle         88: PRNG Output: 219
Cycle         89: PRNG Output:  72
Cycle         90: PRNG Output: 105
Cycle         91: PRNG Output:  14
Cycle         92: PRNG Output:  71
Cycle         93: PRNG Output: 100
Cycle         94: PRNG Output: 245
Cycle         95: PRNG Output: 202
Cycle         96: PRNG Output: 243
Cycle         97: PRNG Output: 192
Cycle         98: PRNG Output: 193
Cycle         99: PRNG Output: 198
Cycle        100: PRNG Output: 223
Cycle        101: PRNG Output:  92
Cycle        102: PRNG Output: 205
Cycle        103: PRNG Output:   2
Cycle        104: PRNG Output:  11
Cycle        105: PRNG Output:  56
Cycle        106: PRNG Output:  25
Cycle        107: PRNG Output: 126
Cycle        108: PRNG Output: 119
Cycle        109: PRNG Output:  84
Cycle        110: PRNG Output: 165
Cycle        111: PRNG Output:  58
Cycle        112: PRNG Output:  35
Cycle        113: PRNG Output: 176
Cycle        114: PRNG Output: 113
Cycle        115: PRNG Output:  54
Cycle        116: PRNG Output:  15
Cycle        117: PRNG Output:  76
Cycle        118: PRNG Output: 125
Cycle        119: PRNG Output: 114
Cycle        120: PRNG Output:  59
Cycle        121: PRNG Output:  40
Cycle        122: PRNG Output: 201
Cycle        123: PRNG Output: 238
Cycle        124: PRNG Output: 167
Cycle        125: PRNG Output:  68
Cycle        126: PRNG Output:  85
Cycle        127: PRNG Output: 170
Cycle        128: PRNG Output:  83
Cycle        129: PRNG Output: 160
Cycle        130: PRNG Output:  33
Cycle        131: PRNG Output: 166
Cycle        132: PRNG Output:  63
Cycle        133: PRNG Output:  60
Cycle        134: PRNG Output:  45
Cycle        135: PRNG Output: 226
Cycle        136: PRNG Output: 107
Cycle        137: PRNG Output:  24
Cycle        138: PRNG Output: 121
Cycle        139: PRNG Output:  94
Cycle        140: PRNG Output: 215
Cycle        141: PRNG Output:  52
Cycle        142: PRNG Output:   5
Cycle        143: PRNG Output:  26
Cycle        144: PRNG Output: 131
Cycle        145: PRNG Output: 144
Cycle        146: PRNG Output: 209
Cycle        147: PRNG Output:  22
Cycle        148: PRNG Output: 111
Cycle        149: PRNG Output:  44
Cycle        150: PRNG Output: 221
Cycle        151: PRNG Output:  82
Cycle        152: PRNG Output: 155
Cycle        153: PRNG Output:   8
Cycle        154: PRNG Output:  41
Cycle        155: PRNG Output: 206
Cycle        156: PRNG Output:   7
Cycle        157: PRNG Output:  36
Cycle        158: PRNG Output: 181
Cycle        159: PRNG Output: 138
Cycle        160: PRNG Output: 179
Cycle        161: PRNG Output: 128
Cycle        162: PRNG Output: 129
Cycle        163: PRNG Output: 134
Cycle        164: PRNG Output: 159
Cycle        165: PRNG Output:  28
Cycle        166: PRNG Output: 141
Cycle        167: PRNG Output: 194
Cycle        168: PRNG Output: 203
Cycle        169: PRNG Output: 248
Cycle        170: PRNG Output: 217
Cycle        171: PRNG Output:  62
Cycle        172: PRNG Output:  55
Cycle        173: PRNG Output:  20
Cycle        174: PRNG Output: 101
Cycle        175: PRNG Output: 250
Cycle        176: PRNG Output: 227
Cycle        177: PRNG Output: 112
Cycle        178: PRNG Output:  49
Cycle        179: PRNG Output: 246
Cycle        180: PRNG Output: 207
Cycle        181: PRNG Output:  12
Cycle        182: PRNG Output:  61
Cycle        183: PRNG Output:  50
Cycle        184: PRNG Output: 251
Cycle        185: PRNG Output: 232
Cycle        186: PRNG Output: 137
Cycle        187: PRNG Output: 174
Cycle        188: PRNG Output: 103
Cycle        189: PRNG Output:   4
Cycle        190: PRNG Output:  21
Cycle        191: PRNG Output: 106
Cycle        192: PRNG Output:  19
Cycle        193: PRNG Output:  96
Cycle        194: PRNG Output: 225
Cycle        195: PRNG Output: 102
Cycle        196: PRNG Output: 255
Cycle        197: PRNG Output: 252
Cycle        198: PRNG Output: 237
Cycle        199: PRNG Output: 162
Cycle        200: PRNG Output:  43
Cycle        201: PRNG Output: 216
Cycle        202: PRNG Output:  57
Cycle        203: PRNG Output:  30
Cycle        204: PRNG Output: 151
Cycle        205: PRNG Output: 244
Cycle        206: PRNG Output: 197
Cycle        207: PRNG Output: 218
Cycle        208: PRNG Output:  67
Cycle        209: PRNG Output:  80
Cycle        210: PRNG Output: 145
Cycle        211: PRNG Output: 214
Cycle        212: PRNG Output:  47
Cycle        213: PRNG Output: 236
Cycle        214: PRNG Output: 157
Cycle        215: PRNG Output:  18
Cycle        216: PRNG Output:  91
Cycle        217: PRNG Output: 200
Cycle        218: PRNG Output: 233
Cycle        219: PRNG Output: 142
Cycle        220: PRNG Output: 199
Cycle        221: PRNG Output: 228
Cycle        222: PRNG Output: 117
Cycle        223: PRNG Output:  74
Cycle        224: PRNG Output: 115
Cycle        225: PRNG Output:  64
Cycle        226: PRNG Output:  65
Cycle        227: PRNG Output:  70
Cycle        228: PRNG Output:  95
Cycle        229: PRNG Output: 220
Cycle        230: PRNG Output:  77
Cycle        231: PRNG Output: 130
Cycle        232: PRNG Output: 139
Cycle        233: PRNG Output: 184
Cycle        234: PRNG Output: 153
Cycle        235: PRNG Output: 254
Cycle        236: PRNG Output: 247
Cycle        237: PRNG Output: 212
Cycle        238: PRNG Output:  37
Cycle        239: PRNG Output: 186
Cycle        240: PRNG Output: 163
Cycle        241: PRNG Output:  48
Cycle        242: PRNG Output: 241
Cycle        243: PRNG Output: 182
Cycle        244: PRNG Output: 143
Cycle        245: PRNG Output: 204
Cycle        246: PRNG Output: 253
Cycle        247: PRNG Output: 242
Cycle        248: PRNG Output: 187
Cycle        249: PRNG Output: 168
Cycle        250: PRNG Output:  73
Cycle        251: PRNG Output: 110
Cycle        252: PRNG Output:  39
Cycle        253: PRNG Output: 196
Cycle        254: PRNG Output: 213
Cycle        255: PRNG Output:  42
Cycle        256: PRNG Output: 211
PRNG Output repeats after        256 cycles at time                 2650
