VCD info: dumpfile lcg_prng_waveform.vcd opened for output.
First LFSR Output:  84
Cycle         88: LFSR Output (Floating-point): sign_1_exponent_100_mantissa_0010
Cycle         89: LFSR Output (Floating-point): sign_1_exponent_000_mantissa_0101
Cycle         90: LFSR Output (Floating-point): sign_0_exponent_000_mantissa_1011
Cycle         91: LFSR Output (Floating-point): sign_0_exponent_001_mantissa_0111
Cycle         92: LFSR Output (Floating-point): sign_0_exponent_010_mantissa_1111
Cycle         93: LFSR Output (Floating-point): sign_0_exponent_101_mantissa_1110
Cycle         94: LFSR Output (Floating-point): sign_1_exponent_011_mantissa_1100
Cycle         95: LFSR Output (Floating-point): sign_0_exponent_111_mantissa_1000
Cycle         96: LFSR Output (Floating-point): sign_1_exponent_111_mantissa_0001
Cycle         97: LFSR Output (Floating-point): sign_1_exponent_110_mantissa_0011
Cycle         98: LFSR Output (Floating-point): sign_1_exponent_100_mantissa_0110
Cycle         99: LFSR Output (Floating-point): sign_1_exponent_000_mantissa_1101
Cycle        100: LFSR Output (Floating-point): sign_0_exponent_001_mantissa_1010
Cycle        101: LFSR Output (Floating-point): sign_0_exponent_011_mantissa_0100
Cycle        102: LFSR Output (Floating-point): sign_0_exponent_110_mantissa_1000
Cycle        103: LFSR Output (Floating-point): sign_1_exponent_101_mantissa_0000
Cycle        104: LFSR Output (Floating-point): sign_1_exponent_010_mantissa_0000
Cycle        105: LFSR Output (Floating-point): sign_0_exponent_100_mantissa_0000
Cycle        106: LFSR Output (Floating-point): sign_1_exponent_000_mantissa_0000
Cycle        107: LFSR Output (Floating-point): sign_0_exponent_000_mantissa_0001
Cycle        108: LFSR Output (Floating-point): sign_0_exponent_000_mantissa_0010
Cycle        109: LFSR Output (Floating-point): sign_0_exponent_000_mantissa_0100
Cycle        110: LFSR Output (Floating-point): sign_0_exponent_000_mantissa_1000
Cycle        111: LFSR Output (Floating-point): sign_0_exponent_001_mantissa_0001
Cycle        112: LFSR Output (Floating-point): sign_0_exponent_010_mantissa_0011
Cycle        113: LFSR Output (Floating-point): sign_0_exponent_100_mantissa_0111
Cycle        114: LFSR Output (Floating-point): sign_1_exponent_000_mantissa_1110
Cycle        115: LFSR Output (Floating-point): sign_0_exponent_001_mantissa_1100
Cycle        116: LFSR Output (Floating-point): sign_0_exponent_011_mantissa_1000
Cycle        117: LFSR Output (Floating-point): sign_0_exponent_111_mantissa_0001
Cycle        118: LFSR Output (Floating-point): sign_1_exponent_110_mantissa_0010
Cycle        119: LFSR Output (Floating-point): sign_1_exponent_100_mantissa_0100
Cycle        120: LFSR Output (Floating-point): sign_1_exponent_000_mantissa_1001
Cycle        121: LFSR Output (Floating-point): sign_0_exponent_001_mantissa_0010
Cycle        122: LFSR Output (Floating-point): sign_0_exponent_010_mantissa_0101
Cycle        123: LFSR Output (Floating-point): sign_0_exponent_100_mantissa_1011
Cycle        124: LFSR Output (Floating-point): sign_1_exponent_001_mantissa_0111
Cycle        125: LFSR Output (Floating-point): sign_0_exponent_010_mantissa_1110
Cycle        126: LFSR Output (Floating-point): sign_0_exponent_101_mantissa_1100
Cycle        127: LFSR Output (Floating-point): sign_1_exponent_011_mantissa_1000
Cycle        128: LFSR Output (Floating-point): sign_0_exponent_111_mantissa_0000
Cycle        129: LFSR Output (Floating-point): sign_1_exponent_110_mantissa_0000
Cycle        130: LFSR Output (Floating-point): sign_1_exponent_100_mantissa_0000
Cycle        131: LFSR Output (Floating-point): sign_1_exponent_000_mantissa_0001
Cycle        132: LFSR Output (Floating-point): sign_0_exponent_000_mantissa_0011
Cycle        133: LFSR Output (Floating-point): sign_0_exponent_000_mantissa_0110
Cycle        134: LFSR Output (Floating-point): sign_0_exponent_000_mantissa_1100
Cycle        135: LFSR Output (Floating-point): sign_0_exponent_001_mantissa_1001
Cycle        136: LFSR Output (Floating-point): sign_0_exponent_011_mantissa_0010
Cycle        137: LFSR Output (Floating-point): sign_0_exponent_110_mantissa_0100
Cycle        138: LFSR Output (Floating-point): sign_1_exponent_100_mantissa_1001
Cycle        139: LFSR Output (Floating-point): sign_1_exponent_001_mantissa_0010
Cycle        140: LFSR Output (Floating-point): sign_0_exponent_010_mantissa_0100
Cycle        141: LFSR Output (Floating-point): sign_0_exponent_100_mantissa_1001
Cycle        142: LFSR Output (Floating-point): sign_1_exponent_001_mantissa_0011
Cycle        143: LFSR Output (Floating-point): sign_0_exponent_010_mantissa_0110
Cycle        144: LFSR Output (Floating-point): sign_0_exponent_100_mantissa_1101
Cycle        145: LFSR Output (Floating-point): sign_1_exponent_001_mantissa_1011
Cycle        146: LFSR Output (Floating-point): sign_0_exponent_011_mantissa_0111
Cycle        147: LFSR Output (Floating-point): sign_0_exponent_110_mantissa_1110
Cycle        148: LFSR Output (Floating-point): sign_1_exponent_101_mantissa_1100
Cycle        149: LFSR Output (Floating-point): sign_1_exponent_011_mantissa_1001
Cycle        150: LFSR Output (Floating-point): sign_0_exponent_111_mantissa_0010
Cycle        151: LFSR Output (Floating-point): sign_1_exponent_110_mantissa_0100
Cycle        152: LFSR Output (Floating-point): sign_1_exponent_100_mantissa_1000
Cycle        153: LFSR Output (Floating-point): sign_1_exponent_001_mantissa_0000
Cycle        154: LFSR Output (Floating-point): sign_0_exponent_010_mantissa_0000
Cycle        155: LFSR Output (Floating-point): sign_0_exponent_100_mantissa_0001
Cycle        156: LFSR Output (Floating-point): sign_1_exponent_000_mantissa_0010
Cycle        157: LFSR Output (Floating-point): sign_0_exponent_000_mantissa_0101
Cycle        158: LFSR Output (Floating-point): sign_0_exponent_000_mantissa_1010
Cycle        159: LFSR Output (Floating-point): sign_0_exponent_001_mantissa_0101
Cycle        160: LFSR Output (Floating-point): sign_0_exponent_010_mantissa_1011
Cycle        161: LFSR Output (Floating-point): sign_0_exponent_101_mantissa_0110
Cycle        162: LFSR Output (Floating-point): sign_1_exponent_010_mantissa_1101
Cycle        163: LFSR Output (Floating-point): sign_0_exponent_101_mantissa_1011
Cycle        164: LFSR Output (Floating-point): sign_1_exponent_011_mantissa_0110
Cycle        165: LFSR Output (Floating-point): sign_0_exponent_110_mantissa_1101
Cycle        166: LFSR Output (Floating-point): sign_1_exponent_101_mantissa_1010
Cycle        167: LFSR Output (Floating-point): sign_1_exponent_011_mantissa_0101
Cycle        168: LFSR Output (Floating-point): sign_0_exponent_110_mantissa_1011
Cycle        169: LFSR Output (Floating-point): sign_1_exponent_101_mantissa_0110
Cycle        170: LFSR Output (Floating-point): sign_1_exponent_010_mantissa_1100
Cycle        171: LFSR Output (Floating-point): sign_0_exponent_101_mantissa_1001
Cycle        172: LFSR Output (Floating-point): sign_1_exponent_011_mantissa_0010
Cycle        173: LFSR Output (Floating-point): sign_0_exponent_110_mantissa_0101
Cycle        174: LFSR Output (Floating-point): sign_1_exponent_100_mantissa_1011
Cycle        175: LFSR Output (Floating-point): sign_1_exponent_001_mantissa_0110
Cycle        176: LFSR Output (Floating-point): sign_0_exponent_010_mantissa_1100
Cycle        177: LFSR Output (Floating-point): sign_0_exponent_101_mantissa_1000
Cycle        178: LFSR Output (Floating-point): sign_1_exponent_011_mantissa_0000
Cycle        179: LFSR Output (Floating-point): sign_0_exponent_110_mantissa_0001
Cycle        180: LFSR Output (Floating-point): sign_1_exponent_100_mantissa_0011
Cycle        181: LFSR Output (Floating-point): sign_1_exponent_000_mantissa_0111
Cycle        182: LFSR Output (Floating-point): sign_0_exponent_000_mantissa_1111
Cycle        183: LFSR Output (Floating-point): sign_0_exponent_001_mantissa_1111
Cycle        184: LFSR Output (Floating-point): sign_0_exponent_011_mantissa_1110
Cycle        185: LFSR Output (Floating-point): sign_0_exponent_111_mantissa_1101
Cycle        186: LFSR Output (Floating-point): sign_1_exponent_111_mantissa_1011
Cycle        187: LFSR Output (Floating-point): sign_1_exponent_111_mantissa_0110
Cycle        188: LFSR Output (Floating-point): sign_1_exponent_110_mantissa_1101
Cycle        189: LFSR Output (Floating-point): sign_1_exponent_101_mantissa_1011
Cycle        190: LFSR Output (Floating-point): sign_1_exponent_011_mantissa_0111
Cycle        191: LFSR Output (Floating-point): sign_0_exponent_110_mantissa_1111
Cycle        192: LFSR Output (Floating-point): sign_1_exponent_101_mantissa_1110
Cycle        193: LFSR Output (Floating-point): sign_1_exponent_011_mantissa_1101
Cycle        194: LFSR Output (Floating-point): sign_0_exponent_111_mantissa_1010
Cycle        195: LFSR Output (Floating-point): sign_1_exponent_111_mantissa_0101
Cycle        196: LFSR Output (Floating-point): sign_1_exponent_110_mantissa_1011
Cycle        197: LFSR Output (Floating-point): sign_1_exponent_101_mantissa_0111
Cycle        198: LFSR Output (Floating-point): sign_1_exponent_010_mantissa_1110
Cycle        199: LFSR Output (Floating-point): sign_0_exponent_101_mantissa_1101
Cycle        200: LFSR Output (Floating-point): sign_1_exponent_011_mantissa_1010
Cycle        201: LFSR Output (Floating-point): sign_0_exponent_111_mantissa_0100
Cycle        202: LFSR Output (Floating-point): sign_1_exponent_110_mantissa_1000
Cycle        203: LFSR Output (Floating-point): sign_1_exponent_101_mantissa_0001
Cycle        204: LFSR Output (Floating-point): sign_1_exponent_010_mantissa_0010
Cycle        205: LFSR Output (Floating-point): sign_0_exponent_100_mantissa_0100
Cycle        206: LFSR Output (Floating-point): sign_1_exponent_000_mantissa_1000
Cycle        207: LFSR Output (Floating-point): sign_0_exponent_001_mantissa_0000
Cycle        208: LFSR Output (Floating-point): sign_0_exponent_010_mantissa_0001
Cycle        209: LFSR Output (Floating-point): sign_0_exponent_100_mantissa_0011
Cycle        210: LFSR Output (Floating-point): sign_1_exponent_000_mantissa_0110
Cycle        211: LFSR Output (Floating-point): sign_0_exponent_000_mantissa_1101
Cycle        212: LFSR Output (Floating-point): sign_0_exponent_001_mantissa_1011
Cycle        213: LFSR Output (Floating-point): sign_0_exponent_011_mantissa_0110
Cycle        214: LFSR Output (Floating-point): sign_0_exponent_110_mantissa_1100
Cycle        215: LFSR Output (Floating-point): sign_1_exponent_101_mantissa_1000
Cycle        216: LFSR Output (Floating-point): sign_1_exponent_011_mantissa_0001
Cycle        217: LFSR Output (Floating-point): sign_0_exponent_110_mantissa_0011
Cycle        218: LFSR Output (Floating-point): sign_1_exponent_100_mantissa_0111
Cycle        219: LFSR Output (Floating-point): sign_1_exponent_000_mantissa_1111
Cycle        220: LFSR Output (Floating-point): sign_0_exponent_001_mantissa_1110
Cycle        221: LFSR Output (Floating-point): sign_0_exponent_011_mantissa_1100
Cycle        222: LFSR Output (Floating-point): sign_0_exponent_111_mantissa_1001
Cycle        223: LFSR Output (Floating-point): sign_1_exponent_111_mantissa_0011
Cycle        224: LFSR Output (Floating-point): sign_1_exponent_110_mantissa_0111
Cycle        225: LFSR Output (Floating-point): sign_1_exponent_100_mantissa_1110
Cycle        226: LFSR Output (Floating-point): sign_1_exponent_001_mantissa_1100
Cycle        227: LFSR Output (Floating-point): sign_0_exponent_011_mantissa_1001
Cycle        228: LFSR Output (Floating-point): sign_0_exponent_111_mantissa_0011
Cycle        229: LFSR Output (Floating-point): sign_1_exponent_110_mantissa_0110
Cycle        230: LFSR Output (Floating-point): sign_1_exponent_100_mantissa_1100
Cycle        231: LFSR Output (Floating-point): sign_1_exponent_001_mantissa_1000
Cycle        232: LFSR Output (Floating-point): sign_0_exponent_011_mantissa_0001
Cycle        233: LFSR Output (Floating-point): sign_0_exponent_110_mantissa_0010
Cycle        234: LFSR Output (Floating-point): sign_1_exponent_100_mantissa_0101
Cycle        235: LFSR Output (Floating-point): sign_1_exponent_000_mantissa_1011
Cycle        236: LFSR Output (Floating-point): sign_0_exponent_001_mantissa_0110
Cycle        237: LFSR Output (Floating-point): sign_0_exponent_010_mantissa_1101
Cycle        238: LFSR Output (Floating-point): sign_0_exponent_101_mantissa_1010
Cycle        239: LFSR Output (Floating-point): sign_1_exponent_011_mantissa_0100
Cycle        240: LFSR Output (Floating-point): sign_0_exponent_110_mantissa_1001
Cycle        241: LFSR Output (Floating-point): sign_1_exponent_101_mantissa_0010
Cycle        242: LFSR Output (Floating-point): sign_1_exponent_010_mantissa_0100
Cycle        243: LFSR Output (Floating-point): sign_0_exponent_100_mantissa_1000
Cycle        244: LFSR Output (Floating-point): sign_1_exponent_001_mantissa_0001
Cycle        245: LFSR Output (Floating-point): sign_0_exponent_010_mantissa_0010
Cycle        246: LFSR Output (Floating-point): sign_0_exponent_100_mantissa_0101
Cycle        247: LFSR Output (Floating-point): sign_1_exponent_000_mantissa_1010
Cycle        248: LFSR Output (Floating-point): sign_0_exponent_001_mantissa_0100
Cycle        249: LFSR Output (Floating-point): sign_0_exponent_010_mantissa_1001
Cycle        250: LFSR Output (Floating-point): sign_0_exponent_101_mantissa_0010
Cycle        251: LFSR Output (Floating-point): sign_1_exponent_010_mantissa_0101
Cycle        252: LFSR Output (Floating-point): sign_0_exponent_100_mantissa_1010
Cycle        253: LFSR Output (Floating-point): sign_1_exponent_001_mantissa_0101
Cycle        254: LFSR Output (Floating-point): sign_0_exponent_010_mantissa_1010
Cycle        255: LFSR Output (Floating-point): sign_0_exponent_101_mantissa_0100
LFSR Output repeats after        255 cycles at time                 2640
